approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
HMGA2,5009,HMGA2,"somatic: lipoma, leiomyoma, pleomorphic salivary gland adenoma; germline: NA",3,FALSE
HMGN2P46,26817,HMGN2P46,somatic: prostate; germline: NA,2,FALSE
HNF1A,11621,HNF1A,"somatic: hepatic adenoma, hepatocellular; germline: hepatic adenoma, hepatocellular carcinoma",5,TRUE
HNRNPA2B1,5033,HNRNPA2B1,somatic: prostate; germline: NA,3,FALSE
HOOK3,23576,HOOK3,somatic: papillary thyroid; germline: NA,3,FALSE
HOXA11,5101,HOXA11,somatic: CML; germline: NA,3,FALSE
HOXA13,5102,HOXA13,somatic: AML; germline: NA,3,FALSE
HOXA9,5109,HOXA9,somatic: AML*; germline: NA,3,FALSE
HOXC11,5123,HOXC11,somatic: AML; germline: NA,3,FALSE
HOXC13,5125,HOXC13,somatic: AML; germline: NA,3,FALSE
HOXD11,5134,HOXD11,somatic: AML; germline: NA,3,FALSE
HOXD13,5136,HOXD13,somatic: AML*; germline: NA,3,FALSE
HRAS,5173,HRAS,"somatic: infrequent sarcomas, rare other tumour types; germline: rhabdomyosarcoma, ganglioneuroblastoma, bladder",5,TRUE
HSP90AA1,5253,HSP90AA1,somatic: NHL; germline: NA,3,FALSE
HSP90AB1,5258,HSP90AB1,somatic: NHL; germline: NA,3,FALSE
ID3,5362,ID3,somatic: Burkitt lymphoma; germline: NA,2,FALSE
IDH1,5382,IDH1,somatic: glioblastoma; germline: NA,4,TRUE
IDH2,5383,IDH2,somatic: glioblastoma; germline: NA,4,TRUE
IGF2BP2,28867,IGF2BP2,somatic: lymphoma; germline: NA,2,FALSE
IGH,5477,IGH,"somatic: MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS; germline: NA",3,FALSE
IGK,5715,IGK,"somatic: Burkitt lymphoma, B-NHL; germline: NA",3,FALSE
IGL,5853,IGL,somatic: Burkitt lymphoma; germline: NA,3,FALSE
IKBKB,5960,IKBKB,somatic: SMZL; germline: NA,3,FALSE
IKZF1,13176,IKZF1,"somatic: ALL, DLBCL; germline: NA",4,TRUE
IKZF3,13178,IKZF3,"somatic: B-ALL, CLL, breast cancer, colorectal cancer; germline: NA",3,FALSE
IL2,6001,IL2,somatic: intestinal T-cell lymphoma; germline: NA,3,FALSE
IL21R,6006,IL21R,somatic: NHL; germline: NA,3,FALSE
IL6ST,6021,IL6ST,somatic: hepatocellular carcinoma; germline: NA,3,FALSE
IL7R,6024,IL7R,"somatic: ALL, ETP ALL; germline: NA",3,FALSE
IRF4,6119,IRF4,somatic: MM; germline: NA,3,FALSE
IRS4,6128,IRS4,"somatic: glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL; germline: NA",3,FALSE
ISX,28084,ISX,somatic: melanoma; germline: NA,2,FALSE
ITGAV,6150,ITGAV,somatic: large intestine carcinoma; germline: NA,2,FALSE
ITK,6171,ITK,somatic: peripheral T-cell lymphoma; germline: NA,3,FALSE
JAK1,6190,JAK1,somatic: ALL; germline: NA,4,TRUE
JAK2,6192,JAK2,"somatic: ALL, AML, MPN,  CML; germline: NA",4,TRUE
JAK3,6193,JAK3,"somatic: acute megakaryocytic leukaemia, ETP ALL; germline: NA",4,TRUE
JAZF1,28917,JAZF1,somatic: endometrial stromal tumour; germline: NA,2,FALSE
JUN,6204,JUN,somatic: sarcoma; germline: NA,3,FALSE
KAT6A,13013,KAT6A,somatic: AML; germline: NA,3,FALSE
KAT6B,17582,KAT6B,"somatic: AML, leiomyoma; germline: NA",3,FALSE
KAT7,17016,KAT7,somatic: CCRCC; germline: NA,2,FALSE
KCNJ5,6266,KCNJ5,somatic: adrenal adenoma; germline: NA,4,TRUE
KDM5A,9886,KDM5A,somatic: AML; germline: NA,3,FALSE
KDM5C,11114,KDM5C,somatic: clear cell renal carcinoma; germline: NA,4,TRUE
KDM6A,12637,KDM6A,"somatic: renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types; germline: NA",4,TRUE
KDR,6307,KDR,"somatic: NSCLC, angiosarcoma; germline: melanoma",5,TRUE
KDSR,4021,KDSR,somatic: B-NHL; germline: NA,3,FALSE
KEAP1,23177,KEAP1,"somatic: NSCLC, breast carcinoma; germline: NA",4,TRUE
KIAA1549,22219,KIAA1549,somatic: pilocytic astrocytoma; germline: NA,2,FALSE
KIF5B,6324,KIF5B,"somatic: NSCLC, Spitzoid tumour; germline: NA",3,FALSE
KIT,6342,KIT,"somatic: GIST, AML, TGCT, mastocytosis, mucosal melanoma; germline: GIST, epithelioma",5,TRUE
KLF4,6348,KLF4,somatic: meningioma; germline: NA,3,FALSE
KLF6,2235,KLF6,"somatic: prostate, glioma; germline: NA",3,FALSE
KLK2,6363,KLK2,somatic: prostate; germline: NA,3,FALSE
KMT2A,7132,KMT2A,"somatic: AML, ALL; germline: NA",4,TRUE
KMT2C,13726,KMT2C,somatic: medulloblastoma; germline: NA,4,TRUE
KMT2D,7133,KMT2D,"somatic: medulloblastoma, renal; germline: NA",4,TRUE
KNL1,24054,KNL1,somatic: AML; germline: NA,3,FALSE
KNSTRN,30767,KNSTRN,somatic: SCC; germline: NA,2,FALSE
KRAS,6407,KRAS,"somatic: pancreatic, colorectal, lung, thyroid, AML, other tumour types; germline: NA",4,TRUE
KTN1,6467,KTN1,somatic: papillary thyroid; germline: NA,3,FALSE
LARP4B,28987,LARP4B,"somatic: CRC, glioma; germline: NA",2,FALSE
LASP1,6513,LASP1,somatic: AML; germline: NA,3,FALSE
LATS1,6514,LATS1,somatic: skin basal cell carcinoma; germline: NA,3,FALSE
LATS2,6515,LATS2,somatic: malignant mesothelioma; germline: NA,3,FALSE
LCK,6524,LCK,somatic: T-ALL; germline: NA,3,FALSE
LCP1,6528,LCP1,somatic: NHL; germline: NA,2,FALSE
LEF1,6551,LEF1,"somatic: B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas; germline: NA",3,FALSE
LEPROTL1,6555,LEPROTL1,"somatic: lung cancer, colon cancer; germline: NA",2,FALSE
LHFPL6,6586,LHFPL6,somatic: lipoma; germline: NA,2,FALSE
LIFR,6597,LIFR,somatic: salivary adenoma; germline: NA,3,FALSE
LMNA,6636,LMNA,somatic: Spitzoid tumour; germline: NA,3,FALSE
LMO1,6641,LMO1,"somatic: T-ALL, neuroblastoma; germline: neuroblastoma",4,TRUE
LMO2,6642,LMO2,somatic: T-ALL; germline: NA,3,FALSE
LPP,6679,LPP,"somatic: lipoma, leukaemia; germline: NA",3,FALSE
LRIG3,30991,LRIG3,somatic: NSCLC; germline: NA,3,FALSE
LRP1B,6693,LRP1B,"somatic: CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer; germline: NA",4,TRUE
LSM14A,24489,LSM14A,somatic: Spitzoid tumour; germline: NA,2,FALSE
LYL1,6734,LYL1,somatic: T-ALL; germline: NA,3,FALSE
LYN,6735,LYN,"somatic: DLBCL, B-ALL, MPN; germline: NA",2,FALSE
LZTR1,6742,LZTR1,"somatic: glioblastoma; germline: glioblastoma, schwannoma",4,TRUE
MACC1,30215,MACC1,"somatic: liver, CRC; germline: NA",2,FALSE
MAF,6776,MAF,somatic: MM; germline: NA,3,FALSE
MAFB,6408,MAFB,somatic: MM; germline: NA,3,FALSE
MALAT1,29665,MALAT1,"somatic: renal cell carcinoma (childhood epithelioid), lung; germline: NA",2,FALSE
MALT1,6819,MALT1,somatic: MALT; germline: NA,3,FALSE
MAML2,16259,MAML2,somatic: salivary gland mucoepidermoid; germline: NA,3,FALSE
MAP2K1,6840,MAP2K1,"somatic: NSCLC, melanoma, colorectal; germline: NA",4,TRUE
MAP2K2,6842,MAP2K2,"somatic: NSCLC, melanoma; germline: NA",3,FALSE
MAP2K4,6844,MAP2K4,"somatic: pancreatic, breast, colorectal; germline: NA",3,FALSE
MAP3K1,6848,MAP3K1,somatic: luminal A breast; germline: NA,4,TRUE
MAP3K13,6852,MAP3K13,somatic: breast; germline: NA,3,FALSE
MAPK1,6871,MAPK1,"somatic: CLL, ovarian mixed germ cell tumour, cervical carcinoma; germline: NA",3,FALSE
MAX,6913,MAX,"somatic: pheochromocytoma, endometrioid carcinoma, colon carcinoma; germline: pheochromocytoma",4,TRUE
MB21D2,30438,MB21D2,somatic: lung cancer; germline: NA,2,FALSE
MDM2,6973,MDM2,"somatic: sarcoma, glioma, colorectal, other tumour types; germline: NA",3,FALSE
MDM4,6974,MDM4,"somatic: glioblastoma, bladder, retinoblastoma; germline: NA",3,FALSE
MDS2,29633,MDS2,somatic: MDS; germline: NA,2,FALSE
MECOM,3498,MECOM,"somatic: AML, CML, MDS; germline: NA",3,FALSE
MED12,11957,MED12,"somatic: uterine leiomyoma, fibroadenoma, phyllodes tumour; germline: NA",4,TRUE
MEN1,7010,MEN1,"somatic: parathyroid tumours, pancreatic neuroendocrine tumour; germline: parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",5,TRUE
MET,7029,MET,"somatic: papillary renal, head-neck squamous cell; germline: papillary renal",4,TRUE
MGMT,7059,MGMT,somatic: glioma; germline: NA,2,FALSE
MITF,7105,MITF,somatic: melanoma; germline: NA,3,FALSE
MLF1,7125,MLF1,somatic: AML; germline: NA,3,FALSE
MLH1,7127,MLH1,"somatic: colorectal, endometrial, ovarian, CNS tumours; germline: colorectal, endometrial, ovarian, CNS",5,TRUE
MLLT1,7134,MLLT1,somatic: AL; germline: NA,3,FALSE
MLLT10,16063,MLLT10,somatic: AL; germline: NA,3,FALSE
MLLT11,16997,MLLT11,somatic: ALL; germline: NA,3,FALSE
MLLT3,7136,MLLT3,somatic: ALL; germline: NA,3,FALSE
MLLT6,7138,MLLT6,somatic: AL; germline: NA,3,FALSE
MN1,7180,MN1,"somatic: AML, MDS; germline: NA",3,FALSE
MNX1,4979,MNX1,somatic: AML; germline: NA,2,FALSE
MPL,7217,MPL,somatic: MPN; germline: MPN,5,TRUE
MRTFA,14334,MRTFA,somatic: acute megakaryocytic leukaemia; germline: NA,3,FALSE
MSH2,7325,MSH2,"somatic: colorectal, endometrial, ovarian; germline: colorectal, endometrial, ovarian",5,TRUE
MSH6,7329,MSH6,"somatic: colorectal; germline: colorectal, endometrial, ovarian",5,TRUE
MSI2,18585,MSI2,somatic: CML; germline: NA,3,FALSE
MSN,7373,MSN,somatic: ALCL; germline: NA,3,FALSE
MTCP1,7423,MTCP1,somatic: T cell prolymphocytic leukaemia; germline: NA,3,FALSE
MTOR,3942,MTOR,"somatic: endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types; germline: NA",4,TRUE
MUC1,7508,MUC1,somatic: B-NHL; germline: NA,3,FALSE
MUC16,15582,MUC16,"somatic: HNSCC, melanoma; germline: NA",2,FALSE
MUC4,7514,MUC4,somatic: HNSCC; germline: NA,2,FALSE
MUTYH,7527,MUTYH,somatic: NA; germline: colorectal,3,FALSE
MYB,7545,MYB,somatic: adenoid cystic carcinoma; germline: NA,3,FALSE
MYC,7553,MYC,"somatic: Burkitt lymphoma, amplified in other cancers, B-CLL; germline: NA",4,TRUE
MYCL,7555,MYCL,somatic: small cell lung carcinoma; germline: NA,3,FALSE
MYCN,7559,MYCN,"somatic: neuroblastoma, Wilms tumour; germline: NA",3,FALSE
MYD88,7562,MYD88,somatic: ABC-DLBCL; germline: NA,4,TRUE
MYH11,7569,MYH11,somatic: AML; germline: NA,3,FALSE
MYH9,7579,MYH9,somatic: ALCL; germline: NA,3,FALSE
MYO5A,7602,MYO5A,somatic: Spitzoid tumour; germline: NA,3,FALSE
MYOD1,7611,MYOD1,somatic: embryonal rhabdomyosarcoma; germline: NA,3,FALSE
N4BP2,29851,N4BP2,somatic: lung cancer; germline: NA,2,FALSE
NAB2,7627,NAB2,"somatic: solitary fibrous tumour, meningeal haemangiopericytoma; germline: NA",3,FALSE
NACA,7629,NACA,somatic: NHL; germline: NA,2,FALSE
NBEA,7648,NBEA,"somatic: large intestine carcinoma, multiple myeloma; germline: NA",2,FALSE
NBN,7652,NBN,"somatic: NA; germline: NHL, glioma, medulloblastoma, rhabdomyosarcoma",3,FALSE
NCKIPSD,15486,NCKIPSD,somatic: ALL; germline: NA,2,FALSE
NCOA1,7668,NCOA1,somatic: alveolar rhabdomyosarcoma; germline: NA,3,FALSE
NCOA2,7669,NCOA2,"somatic: AML, chondrosarcoma, rhabdomyosarcoma; germline: NA",3,FALSE
NCOA4,7671,NCOA4,somatic: papillary thyroid; germline: NA,3,FALSE
NCOR1,7672,NCOR1,somatic: breast; germline: NA,4,TRUE
NCOR2,7673,NCOR2,somatic: prostate; germline: NA,3,FALSE
NDRG1,7679,NDRG1,somatic: prostate; germline: NA,3,FALSE
NF1,7765,NF1,"somatic: neurofibroma, glioma; germline: neurofibroma, glioma",5,TRUE
NF2,7773,NF2,"somatic: meningioma, acoustic neuroma, renal; germline: meningioma, acoustic neuroma",5,TRUE
NFATC2,7776,NFATC2,somatic: Ewing sarcoma; germline: NA,3,FALSE
NFE2L2,7782,NFE2L2,"somatic: NSCLC, HNSCC; germline: NA",3,FALSE
NFIB,7785,NFIB,"somatic: adenoid cystic carcinoma, lipoma; germline: NA",3,FALSE
NFKB2,7795,NFKB2,somatic: B-NHL; germline: NA,3,FALSE
NFKBIE,7799,NFKBIE,"somatic: CLL, desmoplastic melanoma; germline: NA",3,FALSE
NIN,14906,NIN,somatic: MPN; germline: NA,3,FALSE
NKX2-1,11825,NKX2-1,somatic: NSCLC; germline: NA,3,FALSE
NONO,7871,NONO,somatic: papillary renal; germline: NA,3,FALSE
NOTCH1,7881,NOTCH1,"somatic: T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC; germline: NA",4,TRUE
NOTCH2,7882,NOTCH2,"somatic: marginal zone lymphoma, DLBCL, bladder; germline: NA",4,TRUE
NPM1,7910,NPM1,"somatic: NHL, APL, AML; germline: NA",4,TRUE
NR4A3,7982,NR4A3,somatic: extraskeletal myxoid chondrosarcoma; germline: NA,3,FALSE
NRAS,7989,NRAS,"somatic: melanoma, MM, AML, thyroid; germline: NA",4,TRUE
NRG1,7997,NRG1,somatic: NSCLC; germline: NA,3,FALSE
NSD1,14234,NSD1,somatic: AML; germline: NA,3,FALSE
NSD2,12766,NSD2,somatic: MM; germline: NA,3,FALSE
NSD3,12767,NSD3,somatic: AML; germline: NA,3,FALSE
NT5C2,8022,NT5C2,somatic: relapse ALL; germline: NA,3,FALSE
NTHL1,8028,NTHL1,somatic: NA; germline: CRC,2,FALSE
NTRK1,8031,NTRK1,"somatic: papillary thyroid, Spitzoid tumour; germline: NA",3,FALSE
NTRK2,8032,NTRK2,"somatic: colorectal cancer, ganglioglioma, glioma, HNSCC, lung adenocarcinoma; germline: NA",3,FALSE
NTRK3,8033,NTRK3,"somatic: congenital fibrosarcoma, secretory breast; germline: NA",4,TRUE
NUMA1,8059,NUMA1,somatic: APL; germline: NA,3,FALSE
NUP214,8064,NUP214,"somatic: AML, T-ALL; germline: NA",3,FALSE
NUP98,8068,NUP98,somatic: AML; germline: NA,3,FALSE
NUTM1,29919,NUTM1,somatic: lethal midline carcinoma; germline: NA,3,FALSE
NUTM2B,23445,NUTM2B,somatic: endometrial stromal sarcoma; germline: NA,3,FALSE
NUTM2D,23447,NUTM2D,somatic: endometrial stromal sarcoma; germline: NA,3,FALSE
OLIG2,9398,OLIG2,somatic: T-ALL; germline: NA,3,FALSE
OMD,8134,OMD,somatic: aneurysmal bone cyst; germline: NA,2,FALSE
P2RY8,15524,P2RY8,"somatic: B-ALL, Down syndrome associated ALL; germline: NA",3,FALSE
PABPC1,8554,PABPC1,"somatic: HNSCC, biliary tract carcinoma; germline: NA",2,FALSE
PAFAH1B2,8575,PAFAH1B2,somatic: MLCLS; germline: NA,3,FALSE
PALB2,26144,PALB2,"somatic: NA; germline: Wilms tumour, medulloblastoma, AML ,breast",3,FALSE
PATZ1,13071,PATZ1,somatic: Ewing sarcoma; germline: NA,3,FALSE
PAX3,8617,PAX3,somatic: alveolar rhabdomyosarcoma; germline: NA,3,FALSE
PAX5,8619,PAX5,"somatic: NHL, ALL, B-ALL; germline: NA",3,FALSE
PAX7,8621,PAX7,somatic: alveolar rhabdomyosarcoma; germline: NA,3,FALSE
PAX8,8622,PAX8,somatic: follicular thyroid; germline: NA,3,FALSE
PBRM1,30064,PBRM1,"somatic: clear cell renal carcinoma, breast; germline: NA",4,TRUE
PBX1,8632,PBX1,"somatic: pre B-ALL, myoepithelioma; germline: NA",3,FALSE
PCBP1,8647,PCBP1,somatic: CRC; germline: NA,2,FALSE
PCM1,8727,PCM1,"somatic: papillary thyroid, CML, MPN; germline: NA",3,FALSE
PDCD1LG2,18731,PDCD1LG2,"somatic: PMBL, Hodgkin lymphoma; germline: NA",3,FALSE
PDE4DIP,15580,PDE4DIP,somatic: MPN; germline: NA,3,FALSE
PDGFB,8800,PDGFB,somatic: DFSP; germline: NA,3,FALSE
PDGFRA,8803,PDGFRA,"somatic: GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma; germline: GIST",5,TRUE
PDGFRB,8804,PDGFRB,"somatic: MPN, AML, CMML, CML; germline: NA",3,FALSE
PER1,8845,PER1,"somatic: AML, CMML; germline: NA",3,FALSE
PHF6,18145,PHF6,somatic: ETP ALL; germline: NA,3,FALSE
PHOX2B,9143,PHOX2B,somatic: neuroblastoma; germline: neuroblastoma,4,TRUE
PICALM,15514,PICALM,"somatic: T-ALL, AML; germline: NA",3,FALSE
PIK3CA,8975,PIK3CA,"somatic: colorectal, gastric, glioblastoma, breast; germline: NA",4,TRUE
PIK3CB,8976,PIK3CB,"somatic: SCC, NSCLC; germline: NA",3,FALSE
PIK3R1,8979,PIK3R1,"somatic: glioblastoma, ovarian, colorectal; germline: NA",4,TRUE
PIM1,8986,PIM1,somatic: NHL; germline: NA,3,FALSE
PLAG1,9045,PLAG1,"somatic: salivary adenoma, lipoblastoma; germline: NA",3,FALSE
PLCG1,9065,PLCG1,somatic: angiosarcoma; germline: NA,3,FALSE
PML,9113,PML,"somatic: APL, ALL; germline: NA",3,FALSE
PMS1,9121,PMS1,"somatic: NA; germline: colorectal, endometrial, ovarian",2,FALSE
PMS2,9122,PMS2,"somatic: NA; germline: colorectal, endometrial, ovarian, medulloblastoma, glioma",3,FALSE
POLD1,9175,POLD1,somatic: CRC; germline: CRC,4,TRUE
POLE,9177,POLE,"somatic: colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer; germline: colorectal cancer susceptibility",5,TRUE
POLG,9179,POLG,somatic: CRC; germline: NA,2,FALSE
POLQ,9186,POLQ,somatic: oral SCC; germline: breast cancer,4,TRUE
POLR2A,9187,POLR2A,somatic: meningioma; germline: NA,2,FALSE
POT1,17284,POT1,somatic: CLL; germline: NA,3,FALSE
POU2AF1,9211,POU2AF1,somatic: NHL; germline: NA,3,FALSE
POU5F1,9221,POU5F1,somatic: sarcoma; germline: NA,3,FALSE
PPARG,9236,PPARG,somatic: follicular thyroid; germline: NA,3,FALSE
PPFIBP1,9249,PPFIBP1,"somatic: Spitzoid tumour, inflammatory myofibroblastic tumour; germline: NA",3,FALSE
PPM1D,9277,PPM1D,"somatic: glioma, ovarian cancer, breast cancer; germline: NA",3,FALSE
PPP2R1A,9302,PPP2R1A,somatic: clear cell ovarian carcinoma; germline: NA,3,FALSE
PPP6C,9323,PPP6C,somatic: melanoma; germline: NA,3,FALSE
PRCC,9343,PRCC,somatic: papillary renal; germline: NA,3,FALSE
PRDM1,9346,PRDM1,somatic: DLBCL; germline: NA,3,FALSE
PRDM16,14000,PRDM16,"somatic: MDS, AML; germline: NA",3,FALSE
PRDM2,9347,PRDM2,"somatic: glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC; germline: NA",2,FALSE
PREX2,22950,PREX2,"somatic: melanoma, pancreatic ductal adenocarcinoma; germline: NA",3,FALSE
PRF1,9360,PRF1,"somatic: NA; germline: various leukaemia, lymphoma",3,FALSE
PRKACA,9380,PRKACA,"somatic: fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma; germline: NA",3,FALSE
PRKAR1A,9388,PRKAR1A,"somatic: papillary thyroid; germline: myxoma, endocrine, papillary thyroid",4,TRUE
PRKCB,9395,PRKCB,somatic: adult T-cell lymphoma-leukaemia; germline: NA,2,FALSE
PRKD1,9407,PRKD1,"somatic: cribriform adenocarcinoma of the minor salivary glands, polymorphous adenocarcinoma of the minor salivary glands; germline: NA",2,FALSE
PRPF40B,25031,PRPF40B,"somatic: melanoma, colon carcinoma, MDS; germline: NA",2,FALSE
PRRX1,9142,PRRX1,somatic: AML; germline: NA,3,FALSE
PSIP1,9527,PSIP1,somatic: AML; germline: NA,3,FALSE
PTCH1,9585,PTCH1,"somatic: skin basal cell, medulloblastoma; germline: skin basal cell, medulloblastoma",5,TRUE
PTEN,9588,PTEN,"somatic: glioma, prostate, endometrial; germline: harmartoma, glioma, prostate, endometrial",5,TRUE
PTK6,9617,PTK6,"somatic: renal, gastric, head and neck, ovarian, others; germline: NA",3,FALSE
PTPN11,9644,PTPN11,"somatic: JMML, AML, MDS; germline: NA",4,TRUE
PTPN13,9646,PTPN13,"somatic: lung, NSCLC, gastric, peritoneal carcinomatosis; germline: hepatocellular",4,TRUE
PTPN6,9658,PTPN6,somatic: DLBCL; germline: NA,2,FALSE
PTPRB,9665,PTPRB,somatic: angiosarcoma; germline: NA,3,FALSE
PTPRC,9666,PTPRC,somatic: T-ALL; germline: NA,3,FALSE
PTPRD,9668,PTPRD,"somatic: lung cancer, kidney cancer, HNSCC, glioblastoma; germline: NA",2,FALSE
PTPRK,9674,PTPRK,somatic: colorectal; germline: NA,3,FALSE
PTPRT,9682,PTPRT,"somatic: HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma; germline: NA",4,TRUE
PWWP2A,29406,PWWP2A,somatic: Spitzoid tumour; germline: NA,2,FALSE
QKI,21100,QKI,"somatic: angiocentric glioma, colorectal cancer; germline: NA",3,FALSE
RABEP1,17677,RABEP1,somatic: CMML; germline: NA,3,FALSE
RAC1,9801,RAC1,"somatic: melanoma, carcinoma; germline: NA",3,FALSE
RAD17,9807,RAD17,"somatic: lymphoma, colon cancer; germline: NA",2,FALSE
RAD21,9811,RAD21,"somatic: AML, endometrium, colorectal, lung; germline: NA",3,FALSE
RAD51B,9822,RAD51B,"somatic: lipoma, uterine leiomyoma; germline: NA",3,FALSE
RAF1,9829,RAF1,"somatic: pilocytic astrocytoma, prostate; germline: NA",3,FALSE
RALGDS,9842,RALGDS,"somatic: PMBL, Hodgkin lymphoma,; germline: NA",2,FALSE
RANBP2,9848,RANBP2,somatic: inflammatory myofibroblastic tumour; germline: NA,3,FALSE
RAP1GDS1,9859,RAP1GDS1,somatic: T-ALL; germline: NA,3,FALSE
RARA,9864,RARA,somatic: APL; germline: NA,3,FALSE
RB1,9884,RB1,"somatic: retinoblastoma, sarcoma, breast, small cell lung carcinoma; germline: retinoblastoma, sarcoma, breast, small cell lung carcinoma",5,TRUE
RBM10,9896,RBM10,somatic: lung adenocarcinoma; germline: NA,3,FALSE
RBM15,14959,RBM15,somatic: acute megakaryocytic leukaemia; germline: NA,3,FALSE
RECQL4,9949,RECQL4,"somatic: NA; germline: osteosarcoma, skin basal cell, skin sqamous cell",4,TRUE
REL,9954,REL,somatic: Hodgkin lymphoma; germline: NA,3,FALSE
RET,9967,RET,"somatic: medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour; germline: medullary thyroid,  papillary thyroid, pheochromocytoma",5,TRUE
RFWD3,25539,RFWD3,somatic: lung cancer; germline: NA,3,FALSE
RGPD3,32416,RGPD3,somatic: endometrioid adenocarcinoma; germline: NA,2,FALSE
RGS7,10003,RGS7,somatic: melanoma; germline: NA,2,FALSE
RHOA,667,RHOA,"somatic: diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma; germline: NA",4,TRUE
RHOH,686,RHOH,somatic: NHL; germline: NA,3,FALSE
RMI2,28349,RMI2,"somatic: PMBL, Hodgkin lymphoma; germline: NA",3,FALSE
RNF213,14539,RNF213,somatic: ALCL; germline: NA,3,FALSE
RNF43,18505,RNF43,"somatic: cholangiocarcinoma, ovary, pancreas; germline: NA",4,TRUE
ROBO2,10250,ROBO2,"somatic: colorectal adenocarcinoma, melanoma; germline: NA",2,FALSE
ROS1,10261,ROS1,"somatic: glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian; germline: NA",3,FALSE
RPL10,10298,RPL10,somatic: T-ALL; germline: NA,3,FALSE
RPL22,10315,RPL22,"somatic: AML, CML; germline: NA",3,FALSE
RPL5,10360,RPL5,somatic: T-ALL; germline: NA,3,FALSE
RPN1,10381,RPN1,somatic: AML; germline: NA,3,FALSE
RSPO2,28583,RSPO2,somatic: colorectal; germline: NA,3,FALSE
RSPO3,20866,RSPO3,somatic: colorectal; germline: NA,3,FALSE
RUNX1,10471,RUNX1,"somatic: AML, pre B-ALL, T-ALL; germline: NA",4,TRUE
RUNX1T1,1535,RUNX1T1,somatic: AML; germline: NA,3,FALSE
S100A7,10497,S100A7,"somatic: melanoma, T-cell lymphoma; germline: NA",2,FALSE
SALL4,15924,SALL4,"somatic: colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma; germline: NA",3,FALSE
SBDS,19440,SBDS,"somatic: NA; germline: AML, MDS",3,FALSE
SDC4,10661,SDC4,somatic: NSCLC; germline: NA,3,FALSE
SDHA,10680,SDHA,"somatic: GIST, paraganglioma; germline: paraganglioma",4,TRUE
SDHAF2,26034,SDHAF2,somatic: NA; germline: paraganglioma,3,FALSE
SDHB,10681,SDHB,"somatic: NA; germline: paraganglioma, pheochromocytoma",3,FALSE
SDHC,10682,SDHC,"somatic: NA; germline: paraganglioma, pheochromocytoma",3,FALSE
SDHD,10683,SDHD,"somatic: NA; germline: paraganglioma, pheochromocytoma",3,FALSE
SEPTIN5,9164,SEPT5,somatic: AML; germline: NA,2,FALSE
SEPTIN6,15848,SEPT6,somatic: AML; germline: NA,2,FALSE
SEPTIN9,7323,SEPT9,somatic: AML*; germline: NA,2,FALSE
SET,10760,SET,somatic: T-ALL; germline: NA,3,FALSE
SETBP1,15573,SETBP1,"somatic: aCML, sAML, MDS/MPN-U, CMML, JMML; germline: neuroepithelial tumours",5,TRUE
SETD1B,29187,SETD1B,"somatic: CRC, endometrium; germline: NA",2,FALSE
SETD2,18420,SETD2,somatic: clear cell renal carcinoma; germline: NA,4,TRUE
SETDB1,10761,SETDB1,somatic: malignant mesothelioma; germline: NA,2,FALSE
SF3B1,10768,SF3B1,somatic: myelodysplastic syndrome; germline: NA,4,TRUE
SFPQ,10774,SFPQ,somatic: papillary renal; germline: NA,3,FALSE
SFRP4,10778,SFRP4,"somatic: colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC; germline: NA",3,FALSE
SGK1,10810,SGK1,somatic: Nodular lymphocyte predominant Hodgkin lymphoma; germline: NA,2,FALSE
SH2B3,29605,SH2B3,"somatic: MPN, sAML, erythrocytosis, B-ALL; germline: NA",3,FALSE
SH3GL1,10830,SH3GL1,somatic: AL; germline: NA,3,FALSE
SHTN1,29319,SHTN1,somatic: Spitzoid tumour; germline: NA,2,FALSE
SIRPA,9662,SIRPA,"somatic: HNSCC, colorectal cancer, Lung SCC; germline: NA",2,FALSE
SIX1,10887,SIX1,somatic: Wilms tumour; germline: NA,3,FALSE
SIX2,10888,SIX2,somatic: Wilms tumour; germline: NA,2,FALSE
SKI,10896,SKI,somatic: melanoma; germline: NA,2,FALSE
